Brand,Item Number,Item Name,Warehouse,On Hand,Available,Reserved,In Transit,On Sales Order,On Purchase Order
,10001-001M9W11 CrocsClassic Clog CLR- Black/841158002467 Size M9 W11,10001-001M9W11 CrocsClassic Clog CLR- Black/841158002467 Size M9 W11,Default Ridgefield,7,7,0,0,0,0
,10001-001M9W11 CrocsClassic Clog CLR- Black/841158002467 Size M9 W11,10001-001M9W11 CrocsClassic Clog CLR- Black/841158002467 Size M9 W11,FBALYB Amazon,-18,-18,0,0,0,0
,10001-0DAM10W12 CrocsClassic Clog CLR- Slate Grey/191448101661 Size M10 W12,10001-0DAM10W12 CrocsClassic Clog CLR- Slate Grey/191448101661 Size M10 W12,FBALYB Amazon,111,68,43,36,43,0
,10001-0DAM11 CrocsClassic Clog CLR- Slate Grey/191448101678 Size M11 W13,10001-0DAM11 CrocsClassic Clog CLR- Slate Grey/191448101678 Size M11 W13,Default Ridgefield,5,5,0,0,0,0
,10001-0DAM11 CrocsClassic Clog CLR- Slate Grey/191448101678 Size M11 W13,10001-0DAM11 CrocsClassic Clog CLR- Slate Grey/191448101678 Size M11 W13,FBALYB Amazon,-36,-36,0,36,0,0
,10001-0DAM12 CrocsClassic Clog CLR- Slate Grey/191448101685 M12 W14,10001-0DAM12 CrocsClassic Clog CLR- Slate Grey/191448101685 M12 W14,FBALYB Amazon,-5,-5,0,0,0,0
,10001-0DAM4W6 CrocsClassic Clog CLR- Slate Grey/191448101746 Size M4 W6,10001-0DAM4W6 CrocsClassic Clog CLR- Slate Grey/191448101746 Size M4 W6,FBALYB Amazon,-5,-6,1,0,1,0
,10001-0DAM5W7 CrocsClassic Clog CLR- Slate Grey/191448101753 Size M5 W7,10001-0DAM5W7 CrocsClassic Clog CLR- Slate Grey/191448101753 Size M5 W7,FBALYB Amazon,241,225,16,0,16,0
,10001-0DAM6W8 CrocsClassic Clog CLR- Slate Grey/191448101760 Size M6 W8,10001-0DAM6W8 CrocsClassic Clog CLR- Slate Grey/191448101760 Size M6 W8,FBALYB Amazon,333,305,28,79,28,0
,10001-0DAM7W9 CrocsClassic Clog CLR- Slate Grey/191448101777 Size M7 W9,10001-0DAM7W9 CrocsClassic Clog CLR- Slate Grey/191448101777 Size M7 W9,FBALYB Amazon,158,139,19,72,19,0
,10001-0DAM8W10 CrocsClassic Clog CLR- Slate Grey/191448101784 Size M8 W10,10001-0DAM8W10 CrocsClassic Clog CLR- Slate Grey/191448101784 Size M8 W10,FBALYB Amazon,106,98,8,0,8,0
,10001-0DAM9W11 CrocsClassic Clog CLR- Slate Grey/191448101791 Size M9 W11,10001-0DAM9W11 CrocsClassic Clog CLR- Slate Grey/191448101791 Size M9 W11,Default Ridgefield,1,1,0,0,0,0
,10001-0DAM9W11 CrocsClassic Clog CLR- Slate Grey/191448101791 Size M9 W11,10001-0DAM9W11 CrocsClassic Clog CLR- Slate Grey/191448101791 Size M9 W11,FBALYB Amazon,-61,-73,12,71,12,0
,10001-100M10W12 CrocsClassic Clog CLR- White/883503185661 Size M10 W12,10001-100M10W12 CrocsClassic Clog CLR- White/883503185661 Size M10 W12,Default Ridgefield,1,1,0,0,0,0
,10001-100M10W12 CrocsClassic Clog CLR- White/883503185661 Size M10 W12,10001-100M10W12 CrocsClassic Clog CLR- White/883503185661 Size M10 W12,FBALYB Amazon,80,56,24,4,24,0
,10001-100M11 CrocsClassic Clog CLR- White/883503185678 Size M11 W13,10001-100M11 CrocsClassic Clog CLR- White/883503185678 Size M11 W13,FBALYB Amazon,-11,-11,0,0,0,0
,10001-100M12 CrocsClassic Clog CLR- White/883503185685 Size M12 W14,10001-100M12 CrocsClassic Clog CLR- White/883503185685 Size M12 W14,FBALYB Amazon,-6,-6,0,0,0,0
,10001-100M4W6 CrocsClassic Clog CLR- White/883503185609 Size M4 W6,10001-100M4W6 CrocsClassic Clog CLR- White/883503185609 Size M4 W6,FBALYB Amazon,-28,-28,0,0,0,0
,10001-100M5W7 CrocsClassic Clog CLR- White/883503185616 Size M5 W7,10001-100M5W7 CrocsClassic Clog CLR- White/883503185616 Size M5 W7,Default Ridgefield,1,1,0,0,0,0
,10001-100M5W7 CrocsClassic Clog CLR- White/883503185616 Size M5 W7,10001-100M5W7 CrocsClassic Clog CLR- White/883503185616 Size M5 W7,FBALYB Amazon,-13,-35,22,0,22,0
,10001-100M6W8 CrocsClassic Clog CLR- White/883503185623 Size M6 W8,10001-100M6W8 CrocsClassic Clog CLR- White/883503185623 Size M6 W8,Default Ridgefield,1,1,0,0,0,0
,10001-100M6W8 CrocsClassic Clog CLR- White/883503185623 Size M6 W8,10001-100M6W8 CrocsClassic Clog CLR- White/883503185623 Size M6 W8,FBALYB Amazon,-42,-45,3,0,3,0
,10001-100M7W9 CrocsClassic Clog CLR- White/883503185630 Size M7 W9,10001-100M7W9 CrocsClassic Clog CLR- White/883503185630 Size M7 W9,FBALYB Amazon,-16,-16,0,1,0,0
,10001-100M8W10 CrocsClassic Clog CLR- White/883503185647 Size M8 W10,10001-100M8W10 CrocsClassic Clog CLR- White/883503185647 Size M8 W10,FBALYB Amazon,-8,-8,0,0,0,0
,10001-100M9W11 CrocsClassic Clog CLR- White/883503185654 Size M9 W11,10001-100M9W11 CrocsClassic Clog CLR- White/883503185654 Size M9 W11,FBALYB Amazon,-10,-10,0,0,0,0
,10001-200M10W12 CrocsClassic Clog CLR- Chocolate/841158012084 Size M10 W12,10001-200M10W12 CrocsClassic Clog CLR- Chocolate/841158012084 Size M10 W12,Default Ridgefield,19,19,0,0,0,0
,10001-200M10W12 CrocsClassic Clog CLR- Chocolate/841158012084 Size M10 W12,10001-200M10W12 CrocsClassic Clog CLR- Chocolate/841158012084 Size M10 W12,FBALYB Amazon,-1,-3,2,0,2,0
,10001-200M11 CrocsClassic Clog CLR- Chocolate/841158012091 Size M11 W13,10001-200M11 CrocsClassic Clog CLR- Chocolate/841158012091 Size M11 W13,Default Ridgefield,1,1,0,0,0,0
,10001-200M11 CrocsClassic Clog CLR- Chocolate/841158012091 Size M11 W13,10001-200M11 CrocsClassic Clog CLR- Chocolate/841158012091 Size M11 W13,FBALYB Amazon,-3,-3,0,0,0,0
,10001-200M4W6 CrocsClassic Clog CLR- Chocolate/841158012022 Size M4 W6,10001-200M4W6 CrocsClassic Clog CLR- Chocolate/841158012022 Size M4 W6,FBALYB Amazon,-2,-2,0,0,0,0
,10001-200M5W7 CrocsClassic Clog CLR- Chocolate/841158012039 Size M5 W7,10001-200M5W7 CrocsClassic Clog CLR- Chocolate/841158012039 Size M5 W7,Default Ridgefield,5,5,0,0,0,0
,10001-200M5W7 CrocsClassic Clog CLR- Chocolate/841158012039 Size M5 W7,10001-200M5W7 CrocsClassic Clog CLR- Chocolate/841158012039 Size M5 W7,FBALYB Amazon,-16,-18,2,0,2,0
,10001-200M6W8 CrocsClassic Clog CLR- Chocolate/841158012046 Size M6 W8,10001-200M6W8 CrocsClassic Clog CLR- Chocolate/841158012046 Size M6 W8,Default Ridgefield,5,5,0,0,0,0
,10001-200M6W8 CrocsClassic Clog CLR- Chocolate/841158012046 Size M6 W8,10001-200M6W8 CrocsClassic Clog CLR- Chocolate/841158012046 Size M6 W8,FBALYB Amazon,-14,-14,0,0,0,0
,10001-200M7W9 CrocsClassic Clog CLR- Chocolate/841158012053 Size M7 W9,10001-200M7W9 CrocsClassic Clog CLR- Chocolate/841158012053 Size M7 W9,FBALYB Amazon,-12,-12,0,0,0,0
,10001-200M8W10 CrocsClassic Clog CLR- Chocolate/841158012060 Size M8 W10,10001-200M8W10 CrocsClassic Clog CLR- Chocolate/841158012060 Size M8 W10,FBALYB Amazon,-4,-4,0,0,0,0
,10001-200M9W11 CrocsClassic Clog CLR- Chocolate/841158012077 Size M9 W11,10001-200M9W11 CrocsClassic Clog CLR- Chocolate/841158012077 Size M9 W11,Default Ridgefield,1,1,0,0,0,0
,10001-200M9W11 CrocsClassic Clog CLR- Chocolate/841158012077 Size M9 W11,10001-200M9W11 CrocsClassic Clog CLR- Chocolate/841158012077 Size M9 W11,FBALYB Amazon,-1,-1,0,0,0,0
,10001-309M10W12 CrocsClassic Clog CLR- Army Green/841158050802 Size M10 W12,10001-309M10W12 CrocsClassic Clog CLR- Army Green/841158050802 Size M10 W12,FBALYB Amazon,-4,-4,0,0,0,0
,10001-309M4W6 CrocsClassic Clog CLR- Army Green/841158050741 Size M4 W6,10001-309M4W6 CrocsClassic Clog CLR- Army Green/841158050741 Size M4 W6,FBALYB Amazon,-4,-4,0,0,0,0
,10001-309M5W7 CrocsClassic Clog CLR- Army Green/841158050758 Size M5 W7,10001-309M5W7 CrocsClassic Clog CLR- Army Green/841158050758 Size M5 W7,FBALYB Amazon,-3,-3,0,0,0,0
,10001-309M6W8 CrocsClassic Clog CLR- Army Green/841158050765 Size M6 W8,10001-309M6W8 CrocsClassic Clog CLR- Army Green/841158050765 Size M6 W8,FBALYB Amazon,-4,-4,0,0,0,0
,10001-309M7W9 CrocsClassic Clog CLR- Army Green/841158050772 Size M7 W9,10001-309M7W9 CrocsClassic Clog CLR- Army Green/841158050772 Size M7 W9,FBALYB Amazon,-4,-4,0,0,0,0
,10001-309M8W10 CrocsClassic Clog CLR- Army Green/841158050789 Size M8 W10,10001-309M8W10 CrocsClassic Clog CLR- Army Green/841158050789 Size M8 W10,FBALYB Amazon,-5,-5,0,0,0,0
,10001-309M9W11 CrocsClassic Clog CLR- Army Green/841158050796 Size M9 W11,10001-309M9W11 CrocsClassic Clog CLR- Army Green/841158050796 Size M9 W11,FBALYB Amazon,-11,-11,0,0,0,0
,10001-3TJM10W12 CrocsClassic Clog CLR- Deep Green/191448440821 Size M10 W12,10001-3TJM10W12 CrocsClassic Clog CLR- Deep Green/191448440821 Size M10 W12,Default Ridgefield,1,1,0,0,0,0
,10001-3TJM10W12 CrocsClassic Clog CLR- Deep Green/191448440821 Size M10 W12,10001-3TJM10W12 CrocsClassic Clog CLR- Deep Green/191448440821 Size M10 W12,FBALYB Amazon,-9,-11,2,0,2,0
,10001-3TJM11 CrocsClassic Clog CLR- Deep Green/191448440838 Size M11 W13,10001-3TJM11 CrocsClassic Clog CLR- Deep Green/191448440838 Size M11 W13,FBALYB Amazon,-2,-2,0,0,0,0
,10001-3TJM4W6 CrocsClassic Clog CLR- Deep Green/191448440906 Size M4 W6,10001-3TJM4W6 CrocsClassic Clog CLR- Deep Green/191448440906 Size M4 W6,FBALYB Amazon,-6,-6,0,0,0,0
,10001-3TJM5W7 CrocsClassic Clog CLR- Deep Green/191448440913 Size M5 W7,10001-3TJM5W7 CrocsClassic Clog CLR- Deep Green/191448440913 Size M5 W7,Default Ridgefield,22,22,0,0,0,0
,10001-3TJM5W7 CrocsClassic Clog CLR- Deep Green/191448440913 Size M5 W7,10001-3TJM5W7 CrocsClassic Clog CLR- Deep Green/191448440913 Size M5 W7,FBALYB Amazon,-9,-11,2,0,2,0
,10001-3TJM6W8 CrocsClassic Clog CLR- Deep Green/191448440920 Size M6 W8,10001-3TJM6W8 CrocsClassic Clog CLR- Deep Green/191448440920 Size M6 W8,Default Ridgefield,12,12,0,0,0,0
,10001-3TJM6W8 CrocsClassic Clog CLR- Deep Green/191448440920 Size M6 W8,10001-3TJM6W8 CrocsClassic Clog CLR- Deep Green/191448440920 Size M6 W8,FBALYB Amazon,-4,-4,0,0,0,0
,10001-3TJM7W9 CrocsClassic Clog CLR- Deep Green/191448440937 Size M7 W9,10001-3TJM7W9 CrocsClassic Clog CLR- Deep Green/191448440937 Size M7 W9,FBALYB Amazon,-4,-6,2,0,2,0
,10001-3TJM8W10 CrocsClassic Clog CLR- Deep Green/191448440944 Size M8 W10,10001-3TJM8W10 CrocsClassic Clog CLR- Deep Green/191448440944 Size M8 W10,FBALYB Amazon,-5,-5,0,0,0,0
,10001-3TJM9W11 CrocsClassic Clog CLR- Deep Green/191448440951 Size M9 W11,10001-3TJM9W11 CrocsClassic Clog CLR- Deep Green/191448440951 Size M9 W11,Default Ridgefield,1,1,0,0,0,0
,10001-3TJM9W11 CrocsClassic Clog CLR- Deep Green/191448440951 Size M9 W11,10001-3TJM9W11 CrocsClassic Clog CLR- Deep Green/191448440951 Size M9 W11,FBALYB Amazon,-3,-3,0,0,0,0
,10001-3U3M10W12 CrocsClassic Clog CLR- Pistachio/191448650145 Size M10 W12,10001-3U3M10W12 CrocsClassic Clog CLR- Pistachio/191448650145 Size M10 W12,Default Ridgefield,0,-18,18,0,0,0
,10001-3U3M10W12 CrocsClassic Clog CLR- Pistachio/191448650145 Size M10 W12,10001-3U3M10W12 CrocsClassic Clog CLR- Pistachio/191448650145 Size M10 W12,FBALYB Amazon,-1,-1,0,0,0,0
,10001-3U3M11 CrocsClassic Clog CLR- Pistachio/191448650152 Size M11 W13,10001-3U3M11 CrocsClassic Clog CLR- Pistachio/191448650152 Size M11 W13,Default Ridgefield,0,-18,18,0,0,0
,10001-3U3M4W6 CrocsClassic Clog CLR- Pistachio/191448650206 Size M4 W6,10001-3U3M4W6 CrocsClassic Clog CLR- Pistachio/191448650206 Size M4 W6,FBALYB Amazon,-4,-4,0,0,0,0
,10001-3U3M5W7 CrocsClassic Clog CLR- Pistachio/191448650213 Size M5 W7,10001-3U3M5W7 CrocsClassic Clog CLR- Pistachio/191448650213 Size M5 W7,Default Ridgefield,1,-16,17,0,0,0
,10001-3U3M6W8 CrocsClassic Clog CLR- Pistachio/191448650220 Size M6 W8,10001-3U3M6W8 CrocsClassic Clog CLR- Pistachio/191448650220 Size M6 W8,FBALYB Amazon,-7,-7,0,0,0,0
,10001-3U3M7W9 CrocsClassic Clog CLR- Pistachio/191448650237 Size M7 W9,10001-3U3M7W9 CrocsClassic Clog CLR- Pistachio/191448650237 Size M7 W9,FBALYB Amazon,-2,-2,0,0,0,0
,10001-3U3M8W10 CrocsClassic Clog CLR- Pistachio/191448650244 Size M8 W10,10001-3U3M8W10 CrocsClassic Clog CLR- Pistachio/191448650244 Size M8 W10,FBALYB Amazon,-1,-1,0,0,0,0
,10001-3U3M9W11 CrocsClassic Clog CLR- Pistachio/191448650251 Size M9 W11,10001-3U3M9W11 CrocsClassic Clog CLR- Pistachio/191448650251 Size M9 W11,FBALYB Amazon,-2,-2,0,0,0,0
,10001-3U4M10W12 CrocsClassic Clog CLR- Lime Zest/191448650381 Size M10 W12,10001-3U4M10W12 CrocsClassic Clog CLR- Lime Zest/191448650381 Size M10 W12,FBALYB Amazon,1,-1,2,0,2,0
,10001-3U4M11 CrocsClassic Clog CLR- Lime Zest/191448650398 Size M11 W13,10001-3U4M11 CrocsClassic Clog CLR- Lime Zest/191448650398 Size M11 W13,FBALYB Amazon,6,6,0,0,0,0
,10001-3U4M12 CrocsClassic Clog CLR- Lime Zest/191448650404 Size M12 W14,10001-3U4M12 CrocsClassic Clog CLR- Lime Zest/191448650404 Size M12 W14,FBALYB Amazon,8,8,0,0,0,0
,10001-3U4M4W6 CrocsClassic Clog CLR- Lime Zest/191448650442 Size M4 W6,10001-3U4M4W6 CrocsClassic Clog CLR- Lime Zest/191448650442 Size M4 W6,Default Ridgefield,0,-12,12,0,0,0
,10001-3U4M4W6 CrocsClassic Clog CLR- Lime Zest/191448650442 Size M4 W6,10001-3U4M4W6 CrocsClassic Clog CLR- Lime Zest/191448650442 Size M4 W6,FBALYB Amazon,-4,-4,0,0,0,0
,10001-3U4M6W8 CrocsClassic Clog CLR- Lime Zest/191448650466 Size M6 W8,10001-3U4M6W8 CrocsClassic Clog CLR- Lime Zest/191448650466 Size M6 W8,FBALYB Amazon,-1,-1,0,0,0,0
,10001-3U4M7W9 CrocsClassic Clog CLR- Lime Zest/191448650473 Size M7 W9,10001-3U4M7W9 CrocsClassic Clog CLR- Lime Zest/191448650473 Size M7 W9,FBALYB Amazon,-5,-5,0,0,0,0
